movie_name,ranking,score,score_num
肖申克的救赎,1,9.6,9.6
霸王别姬,2,9.5,9.5
这个杀手不太冷,3,9.4,9.4
阿甘正传,4,9.4,9.4
美丽人生,5,9.5,9.5
千与千寻,6,9.2,9.2
辛德勒的名单,7,9.4,9.4
泰坦尼克号,8,9.2,9.2
盗梦空间,9,9.3,9.3
机器人总动员,10,9.3,9.3
海上钢琴师,11,9.2,9.2
三傻大闹宝莱坞,12,9.1,9.1
忠犬八公的故事,13,9.2,9.2
放牛班的春天,14,9.2,9.2
大话西游之大圣娶亲,15,9.2,9.2
教父,16,9.2,9.2
龙猫,17,9.1,9.1
楚门的世界,18,9.1,9.1
乱世佳人,19,9.2,9.2
熔炉,20,9.2,9.2
触不可及,21,9.1,9.1
天堂电影院,22,9.1,9.1
当幸福来敲门,23,8.9,8.9
无间道,24,9.0,9.0
星际穿越,25,9.1,9.1
movie_name,ranking,score,score_num
肖申克的救赎,1,9.6,943415
霸王别姬,2,9.5,683484
这个杀手不太冷,3,9.4,894151
阿甘正传,4,9.4,760306
美丽人生,5,9.5,444419
千与千寻,6,9.2,710406
辛德勒的名单,7,9.4,406922
泰坦尼克号,8,9.2,701273
盗梦空间,9,9.3,806739
机器人总动员,10,9.3,528288
海上钢琴师,11,9.2,628033
三傻大闹宝莱坞,12,9.1,717140
忠犬八公的故事,13,9.2,490077
放牛班的春天,14,9.2,481613
大话西游之大圣娶亲,15,9.2,522137
教父,16,9.2,364114
龙猫,17,9.1,444424
楚门的世界,18,9.1,489859
乱世佳人,19,9.2,284931
熔炉,20,9.2,284652
触不可及,21,9.1,388933
天堂电影院,22,9.1,323962
当幸福来敲门,23,8.9,570879
无间道,24,9.0,426734
星际穿越,25,9.1,518126
movie_name,ranking,score,score_num
肖申克的救赎,1,9.6,943415
霸王别姬,2,9.5,683484
这个杀手不太冷,3,9.4,894151
阿甘正传,4,9.4,760306
美丽人生,5,9.5,444419
千与千寻,6,9.2,710406
辛德勒的名单,7,9.4,406922
泰坦尼克号,8,9.2,701273
盗梦空间,9,9.3,806739
机器人总动员,10,9.3,528288
海上钢琴师,11,9.2,628033
三傻大闹宝莱坞,12,9.1,717140
忠犬八公的故事,13,9.2,490077
放牛班的春天,14,9.2,481613
大话西游之大圣娶亲,15,9.2,522137
教父,16,9.2,364114
龙猫,17,9.1,444424
楚门的世界,18,9.1,489859
乱世佳人,19,9.2,284931
熔炉,20,9.2,284652
触不可及,21,9.1,388933
天堂电影院,22,9.1,323962
当幸福来敲门,23,8.9,570879
无间道,24,9.0,426734
星际穿越,25,9.1,518126
